x,v
0.116537,0.993203
0.215275,0.976613
0.31186,0.950256
0.405326,0.914397
0.494739,0.869394
0.579205,0.815696
0.657878,0.753842
0.729973,0.68445
0.794768,0.608212
0.851616,0.525893
0.899947,0.438315
0.939279,0.346354
0.969218,0.250929
0.989465,0.152995
0.999817,0.0535308
1.00017,-0.0464685
0.990523,-0.146003
0.97097,-0.244078
0.941707,-0.339712
0.903028,-0.431949
0.855318,-0.519866
0.799055,-0.602584
0.734801,-0.679277
0.663199,-0.749177
0.584965,-0.811585
0.500882,-0.865878
0.41179,-0.911511
0.31858,-0.94803
0.222184,-0.975068
0.123566,-0.992356
0.0237128,-0.99972
-0.0763777,-0.997086
-0.175704,-0.984482
-0.273274,-0.962033
-0.368111,-0.929964
-0.459267,-0.888595
-0.54583,-0.83834
-0.626935,-0.779702
-0.701771,-0.713267
-0.769588,-0.639699
-0.82971,-0.559734
-0.881535,-0.474172
-0.924545,-0.383868
-0.958309,-0.289725
-0.98249,-0.192685
-0.996846,-0.0937182
-1.00123,0.00618571
-0.995608,0.106028
-0.980028,0.20481
-0.954647,0.301543
-0.919719,0.395262
-0.875594,0.485027
-0.822714,0.569943
-0.761606,0.649159
-0.692882,0.721883
-0.617229,0.787389
-0.535404,0.84502
-0.448225,0.894202
-0.356564,0.934441
-0.261337,0.965336
-0.163497,0.986578
-0.0640213,0.997954
0.0360942,0.99935
0.135849,0.990753
0.234245,0.972248
0.330298,0.944021
0.423049,0.906354
0.511569,0.859623
0.594974,0.804296
0.672428,0.740926
0.743159,0.670146
0.806457,0.592665
0.861692,0.509258
0.908309,0.420758
0.945843,0.32805
0.973919,0.232062
0.992256,0.133753
1.00067,0.0341072
0.999077,-0.0658802
0.987494,-0.165209
0.966035,-0.262885
0.934917,-0.357933
0.894449,-0.449401
0.845037,-0.536375
0.787174,-0.617986
0.721439,-0.693417
0.64849,-0.761913
0.569057,-0.82279
0.483932,-0.87544
0.393969,-0.919335
0.300065,-0.954037
0.203161,-0.979198
0.104226,-0.994567
0.00424799,-0.999991
-0.0957723,-0.995415
-0.194835,-0.980884
-0.291949,-0.956545
-0.386144,-0.922641
-0.476477,-0.879509
-0.562046,-0.827583
-0.641994,-0.767381
-0.715522,-0.699506
-0.781895,-0.624635
-0.840449,-0.543517
-0.890599,-0.456965
-0.931842,-0.365843
-0.963767,-0.271063
-0.986055,-0.173571
-0.998481,-0.0743447
-1.00092,0.0256256
-0.993356,0.12534
-0.975856,0.2238
-0.948596,0.320023
-0.911851,0.413045
-0.865987,0.501937
-0.811464,0.58581
-0.748825,0.663824
-0.678699,0.7352
-0.601785,0.799224
-0.518854,0.855256
-0.430734,0.902736
-0.338307,0.941188
-0.242496,0.970228
-0.144261,0.989566
-0.0445833,0.999008
0.0555405,0.99846
0.155109,0.987928
0.253126,0.967516
0.348612,0.937429
0.440612,0.897968
0.528206,0.849527
0.610517,0.792591
0.686724,0.727729
0.756063,0.65559
0.817842,0.576894
0.871442,0.49243
0.916328,0.403042
0.95205,0.309623
0.978252,0.213108
0.994672,0.114461
1.00114,0.0146706
0.997606,-0.0852669
0.984091,-0.184352
0.960736,-0.281593
0.927773,-0.376019
0.885532,-0.466684
0.834436,-0.552682
0.774995,-0.633154
0.707805,-0.707294
0.633537,-0.774361
0.552933,-0.833684
0.4668,-0.884671
0.375999,-0.926811
0.281438,-0.959683
0.184062,-0.982958
0.0848461,-0.996403
-0.0152184,-0.999884
-0.115131,-0.993367
-0.213892,-0.976916
-0.310514,-0.950696
-0.404031,-0.914968
-0.493508,-0.870091
-0.578049,-0.816514
-0.65681,-0.754771
-0.729003,-0.68548
-0.793906,-0.609334
-0.85087,-0.527096
-0.899325,-0.439586
-0.938787,-0.34768
-0.968861,-0.252298
-0.989247,-0.154392
-0.99974,-0.054943
-1.00024,0.0450558
-0.990729,0.144604
-0.971315,0.242706
-0.942188,0.338381
-0.903638,0.430673
-0.856053,0.518657
-0.799907,0.601455
-0.735762,0.678239
-0.664259,0.74824
-0.586114,0.810758
-0.502108,0.865169
-0.41308,0.910929
-0.319922,0.947579
-0.223564,0.974753
-0.124971,0.99218
-0.0251284,0.999685
0.0749658,0.997193
0.17431,0.984729
0.271912,0.962418
0.366794,0.930483
0.458008,0.889243
0.544642,0.83911
0.62583,0.780587
0.70076,0.714257
0.768682,0.640785
0.828917,0.560905
0.880863,0.475416
0.924,0.385173
0.957897,0.291078
0.982216,0.194073
0.996712,0.0951261
1.00124,-0.0047715
0.995758,-0.104621
0.980317,-0.203425
0.955073,-0.300195
0.920278,-0.393962
0.87628,-0.48379
0.82352,-0.56878
0.762524,-0.648082
0.693903,-0.720904
0.618343,-0.786516
0.5366,-0.844263
0.449491,-0.893568
0.357887,-0.933937
0.262704,-0.964966
0.164893,-0.986346
0.0654343,-0.997862
-0.0346791,-0.9994
-0.134446,-0.990944
-0.232868,-0.972578
-0.328961,-0.944487
-0.421765,-0.90695
-0.510351,-0.860344
-0.593834,-0.805135
-0.671378,-0.741875
-0.742209,-0.671195
-0.805617,-0.593804
-0.86097,-0.510475
-0.907712,-0.42204
-0.945378,-0.329386
-0.97359,-0.233438
-0.992065,-0.135155
-1.00062,-0.0355205
-0.999169,0.064469
-0.987727,0.163814
-0.966407,0.26152
-0.935423,0.356612
-0.895084,0.448137
-0.845795,0.535181
-0.788048,0.616873
-0.72242,0.692397
-0.649569,0.760996
-0.570221,0.821986
-0.485172,0.874755
-0.39527,0.918778
-0.301416,0.953612
-0.204548,0.97891
-0.105634,0.994419
-0.00566398,0.999984
0.0943627,0.995549
0.193446,0.981159
0.290594,0.956957
0.384837,0.923185
0.475231,0.880182
0.560873,0.828376
0.640907,0.768287
0.714531,0.700515
0.78101,0.625738
0.839679,0.544704
0.889951,0.458223
0.931323,0.367159
0.963382,0.272424
0.985808,0.174964
0.998375,0.0757549
1.00096,-0.0242118
0.993533,-0.123936
0.976172,-0.222422
0.949049,-0.318683
0.912435,-0.411757
0.866697,-0.500713
0.812292,-0.584663
0.749765,-0.662766
0.679739,-0.734241
0.602916,-0.798374
0.520064,-0.854523
0.432012,-0.902127
0.339639,-0.940709
0.24387,-0.969885
0.145662,-0.989361
0.0459978,-0.998944
-0.0541266,-0.998538
-0.15371,-0.988146
-0.251756,-0.967873
-0.347284,-0.937921
-0.43934,-0.898589
-0.527002,-0.850272
-0.609394,-0.793453
-0.685693,-0.728698
-0.755134,-0.656657
-0.817024,-0.578049
-0.870744,-0.493661
-0.915756,-0.404336
-0.951611,-0.310967
-0.97795,-0.214489
-0.994509,-0.115866
-1.00112,-0.0160847
-0.997726,0.0838578
-0.984351,0.182962
-0.961133,0.280236
-0.928304,0.374708
-0.886192,0.465433
-0.835218,0.551503
-0.775891,0.632058
-0.708806,0.706293
-0.634633,0.773465
-0.554113,0.832902
-0.468052,0.884011
-0.377311,0.926279
-0.282796,0.959284
-0.185454,0.982697
-0.086257,0.996282
0.0138026,0.999905
0.113724,0.993529
0.212508,0.977217
0.309167,0.951133
0.402735,0.915538
0.492275,0.870788
0.576892,0.817329
0.655741,0.755698
0.728032,0.686509
0.793043,0.610455
0.850123,0.528297
0.898702,0.440856
0.938294,0.349006
0.968503,0.253666
0.989027,0.155789
0.999661,0.056355
1.0003,-0.043643
0.990933,-0.143204
0.971657,-0.241334
0.942666,-0.33705
0.904247,-0.429396
0.856787,-0.517448
0.800758,-0.600325
0.736722,-0.677199
0.665318,-0.747301
0.587262,-0.80993
0.503332,-0.864459
0.41437,-0.910344
0.321263,-0.947126
0.224944,-0.974437
0.126376,-0.992003
0.0265439,-0.999649
-0.0735537,-0.997298
-0.172916,-0.984975
-0.270549,-0.962801
-0.365476,-0.931
-0.456749,-0.889889
-0.543454,-0.839879
-0.624724,-0.78147
-0.699748,-0.715246
-0.767774,-0.64187
-0.828122,-0.562075
-0.880189,-0.47666
-0.923454,-0.386478
